date,value
2014-08,56236767.89999914
2014-12,71825039.94000003
2014-07,57841414.1999993
2014-11,43485850.68999984
2014-10,49802549.92000063
2014-09,49888718.89000071
2013-04,44589763.22999942
2014-04,88923437.35000028
2013-08,43892121.79000028
2015-08,74344743.00999893
2013-12,42750737.10999975
2015-12,57186082.349999845
2013-02,42751906.630000114
2014-02,62550907.99000065
2013-01,65576002.950000316
2014-01,56926353.40000099
2013-07,55012061.799998514
2015-07,77551264.98000044
2013-06,55093663.949998885
2014-06,88707704.90999892
2013-03,59424498.620000355
2014-03,43439500.54999972
2013-05,50811337.7199986
2014-05,51640984.96000016
2013-11,35371199.68999987
2015-11,57638373.000001
2013-10,67178530.49999899
2015-10,63319104.009998895
2015-09,50518759.929999396
2013-09,55777975.259999
2015-04,63911624.16999979
2015-02,68259630.33999959
2015-01,70237390.89999916
2015-06,72233902.13000052
2015-03,57139103.05999992
2015-05,73387408.65999886
